iter	Logloss
0	0.690072637
1	0.6871213126
2	0.6840130584
3	0.6809791656
4	0.6777363646
5	0.674284697
6	0.6708020248
7	0.6678236749
8	0.6646547794
9	0.6616883671
10	0.6583190193
11	0.655806692
12	0.6527190385
13	0.6498659506
14	0.6467269405
15	0.6432565789
16	0.6407944477
17	0.6379971516
18	0.6356756188
19	0.6333694639
20	0.6307986093
21	0.628695145
22	0.6265836395
23	0.6239924743
24	0.6211711786
25	0.6187635542
26	0.6161799329
27	0.6143742042
28	0.6120001127
29	0.6095149353
30	0.6070754357
31	0.6037970706
32	0.6016818761
33	0.5995777486
34	0.5973358413
35	0.594609176
36	0.5923817348
37	0.5896370802
38	0.58766008
39	0.5857824769
40	0.5839550284
41	0.5819438734
42	0.5797369913
43	0.5779817487
44	0.5766254211
45	0.5748297233
46	0.5731410494
47	0.5710835533
48	0.569158863
49	0.5675320326
50	0.5659930347
51	0.5639218186
52	0.5615248883
53	0.5597850236
54	0.558097386
55	0.5561809443
56	0.5540476775
57	0.5519729796
58	0.5500687656
59	0.5479250119
60	0.5457881804
61	0.5438069523
62	0.5416741
63	0.5400475183
64	0.5382333752
65	0.5364174083
66	0.5345494217
67	0.5328078161
68	0.5312215653
69	0.5293795263
70	0.5275528239
71	0.5250735323
72	0.5232163227
73	0.5220123239
74	0.520879785
75	0.5194747122
76	0.5176994078
77	0.5163836183
78	0.5149311266
79	0.5131466618
80	0.5119395957
81	0.5097800496
82	0.5076459953
83	0.506032263
84	0.5038101689
85	0.5023129941
86	0.500748919
87	0.499312427
88	0.4976599391
89	0.4965267369
90	0.4948325917
91	0.4931500524
92	0.4913879705
93	0.4896117957
94	0.4875574083
95	0.4862059718
96	0.4848697475
97	0.4837703271
98	0.4820088255
99	0.4806401873
100	0.4793142011
101	0.4779255425
102	0.4761104461
103	0.4749253071
104	0.4732618348
105	0.4721135863
106	0.4705497599
107	0.4692456594
108	0.4678032815
109	0.4659848691
110	0.4648011394
111	0.4633551139
112	0.4620966913
113	0.4605772993
114	0.459412761
115	0.4580961839
116	0.4568694706
117	0.4552548679
118	0.4540330456
119	0.4530361312
120	0.451615183
121	0.4503397244
122	0.4492528219
123	0.4474868852
124	0.4460706623
125	0.4453877732
126	0.4445608453
127	0.4433246813
128	0.4420184668
129	0.4414734819
130	0.440052368
131	0.439009444
132	0.43796109
133	0.4365663797
134	0.4355317457
135	0.4345260439
136	0.4335979779
137	0.4323157629
138	0.4313666404
139	0.4303080068
140	0.4293944898
141	0.4282084389
142	0.4273749204
143	0.4262608267
144	0.4250595637
145	0.4238481039
146	0.4227068605
147	0.4214396919
148	0.4202372268
149	0.4189215616
150	0.4174758263
151	0.4162678069
152	0.4150005969
153	0.4139882216
154	0.4128143155
155	0.4117917435
156	0.4108809207
157	0.4095874314
158	0.4086059363
159	0.4076448761
160	0.4066686452
161	0.4056158976
162	0.4046052217
163	0.403475004
164	0.4019260167
165	0.4009828629
166	0.3998227597
167	0.3988955642
168	0.3978228376
169	0.3969489468
170	0.3957069799
171	0.3944768676
172	0.3937463524
173	0.3926044458
174	0.391422457
175	0.3905148258
176	0.3894537053
177	0.3888952906
178	0.3880783107
179	0.3870909712
180	0.3860036957
181	0.384739097
182	0.3838384709
183	0.3829700101
184	0.3820471668
185	0.3808035833
186	0.3797767419
187	0.3786861089
188	0.3775956003
189	0.3766323847
190	0.375585523
191	0.3749275454
192	0.3739122271
193	0.3730530096
194	0.3722327966
195	0.3710040936
196	0.3701113845
197	0.3690581395
198	0.3679273829
199	0.3670484352
200	0.3661382342
201	0.3653530879
202	0.3643805875
203	0.3635791099
204	0.3627632076
205	0.3617188744
206	0.3603681425
207	0.35955452
208	0.3588451029
209	0.3579544249
210	0.3568776777
211	0.3564212715
212	0.3554131655
213	0.3542808338
214	0.3534499267
215	0.352711992
216	0.3518950121
217	0.3511484143
218	0.3501395208
219	0.3492964273
220	0.3486430507
221	0.3478365161
222	0.3469170925
223	0.3461865566
224	0.3451920462
225	0.3443277926
226	0.3434695906
227	0.3425102091
228	0.3417989061
229	0.3409593359
230	0.3404558839
231	0.339534595
232	0.338683709
233	0.3379363444
234	0.3369866829
235	0.3362701779
236	0.3355203055
237	0.3343174259
238	0.333422665
239	0.3327369159
240	0.3320135508
241	0.3309756216
242	0.3302176665
243	0.3294060544
244	0.3286640161
245	0.3277764675
246	0.3269804198
247	0.326449072
248	0.3256851274
249	0.3248018689
250	0.324222522
251	0.323653351
252	0.3227808073
253	0.3219721174
254	0.3209353695
255	0.320222284
256	0.3195265247
257	0.3189182456
258	0.3182382166
259	0.3172154788
260	0.3165989926
261	0.3159533256
262	0.3148281648
263	0.3141471409
264	0.3133508031
265	0.3127965127
266	0.312059635
267	0.31120535
268	0.3102394195
269	0.3095868511
270	0.3088640456
271	0.307911006
272	0.3073029342
273	0.3063988885
274	0.3056722696
275	0.304918501
276	0.3043687286
277	0.3037509368
278	0.303281308
279	0.302584844
280	0.3019463272
281	0.301300453
282	0.3004662713
283	0.2997740559
284	0.2991022133
285	0.2982478869
286	0.297418016
287	0.2966036267
288	0.2958341692
289	0.2952062843
290	0.2944576348
291	0.2938844224
292	0.2932568898
293	0.2923576109
294	0.2914106852
295	0.2904227861
296	0.2897866111
297	0.289010273
298	0.2884732465
299	0.2878282013
300	0.2873659506
301	0.2864820704
302	0.2857429958
303	0.2852745898
304	0.284730807
305	0.2839780124
306	0.2834186444
307	0.2827757131
308	0.2821941693
309	0.281493581
310	0.2807462579
311	0.2803207734
312	0.2794514836
313	0.2787825631
314	0.2782213298
315	0.2778610463
316	0.27731888
317	0.2765394123
318	0.2760262196
319	0.2753309784
320	0.2748245628
321	0.2740113963
322	0.2733024973
323	0.2724956104
324	0.2718222548
325	0.2711469718
326	0.270640121
327	0.2699429109
328	0.269182303
329	0.2684322234
330	0.2679192587
331	0.267385341
332	0.2668369986
333	0.2662651541
334	0.2657401274
335	0.2651615473
336	0.2645799621
337	0.2641063541
338	0.2635869439
339	0.262899972
340	0.262372935
341	0.2618048624
342	0.2610990929
343	0.2604552083
344	0.2597781429
345	0.2591947753
346	0.2587336024
347	0.25802775
348	0.2575041947
349	0.2569338425
350	0.2563059575
351	0.2559393735
352	0.2551713668
353	0.2547236444
354	0.2543280247
355	0.253809858
356	0.2533144473
357	0.2524447637
358	0.2516956167
359	0.2511772428
360	0.2504263135
361	0.2499800625
362	0.2493305822
363	0.2488063845
364	0.2483220617
365	0.24776802
366	0.2471630362
367	0.246542861
368	0.2459335042
369	0.245493678
370	0.2449099374
371	0.2444530338
372	0.2437639479
373	0.2433454685
374	0.2430012468
375	0.2425116806
376	0.2419954621
377	0.2414714509
378	0.2407910073
379	0.2402344165
380	0.2395924385
381	0.2390879296
382	0.2386210158
383	0.2382179973
384	0.2377336952
385	0.2372745119
386	0.2368882599
387	0.2363623005
388	0.2358665376
389	0.235369842
390	0.2348147433
391	0.2342678102
392	0.2337373536
393	0.2330747336
394	0.2326702228
395	0.2321085128
396	0.2315570203
397	0.2311528826
398	0.230835707
399	0.2303958809
400	0.2298372175
401	0.2292639637
