iter	Passed	Remaining
400	19775	29539
401	19823	29488
402	19868	29433
403	19923	29392
404	19973	29343
405	20018	29288
406	20069	29240
407	20123	29198
408	20167	29141
409	20217	29092
410	20269	29047
411	20316	28995
412	20371	28954
413	20421	28906
414	20466	28850
415	20518	28804
416	20573	28763
417	20619	28709
418	20669	28660
419	20724	28618
420	20775	28571
421	20818	28514
422	20860	28455
423	20912	28408
424	20960	28358
425	21012	28312
426	21056	28256
427	21102	28202
428	21147	28147
429	21195	28096
430	21242	28043
431	21289	27991
432	21344	27949
433	21388	27894
434	21440	27848
435	21488	27797
436	21536	27745
437	21594	27708
438	21642	27657
439	21696	27614
440	21761	27584
441	21816	27541
442	21874	27503
443	21922	27452
444	21979	27412
445	22033	27369
446	22083	27320
447	22136	27275
448	22187	27228
449	22231	27172
450	22280	27121
451	22340	27085
452	22396	27043
453	22446	26995
454	22499	26950
455	22545	26896
456	22594	26845
457	22637	26788
458	22678	26729
459	22716	26666
460	22767	26619
461	22819	26573
462	22866	26521
463	22911	26466
464	22963	26420
465	23006	26363
466	23045	26302
467	23092	26250
468	23133	26191
469	23172	26130
470	23225	26085
471	23271	26032
472	23320	25982
473	23374	25938
474	23424	25890
475	23469	25836
476	23522	25791
477	23579	25749
478	23622	25693
479	23669	25641
480	23717	25591
481	23771	25547
482	23819	25496
483	23872	25451
484	23918	25398
485	23965	25346
486	24021	25304
487	24079	25263
488	24134	25220
489	24181	25168
490	24226	25114
491	24276	25065
492	24327	25018
493	24386	24978
494	24436	24930
495	24479	24874
496	24528	24824
497	24580	24778
498	24632	24730
499	24679	24679
500	24727	24628
501	24772	24575
502	24823	24527
503	24874	24479
504	24923	24430
505	24972	24380
506	25025	24334
507	25077	24287
508	25129	24240
509	25181	24193
510	25236	24149
511	25287	24102
512	25332	24048
513	25380	23998
514	25424	23943
515	25469	23889
516	25516	23838
517	25561	23785
518	25605	23731
519	25655	23682
520	25704	23632
521	25752	23581
522	25798	23529
523	25841	23474
524	25885	23420
525	25928	23365
526	25974	23312
527	26020	23260
528	26074	23215
529	26128	23170
530	26179	23122
531	26219	23065
532	26264	23011
533	26310	22960
534	26351	22903
535	26394	22848
536	26447	22803
537	26494	22751
538	26532	22693
539	26578	22641
540	26626	22590
541	26673	22539
542	26716	22484
543	26754	22426
544	26805	22379
545	26856	22330
546	26900	22278
547	26944	22224
548	27001	22181
549	27053	22134
550	27105	22087
551	27158	22041
552	27208	21993
553	27257	21943
554	27304	21892
555	27350	21841
556	27401	21793
557	27440	21736
558	27484	21682
559	27533	21633
560	27573	21577
561	27620	21526
562	27663	21472
563	27700	21413
564	27744	21361
565	27781	21302
566	27830	21252
567	27889	21211
568	27938	21162
569	27984	21111
570	28034	21062
571	28089	21018
572	28137	20967
573	28179	20913
574	28227	20864
575	28280	20817
576	28340	20776
577	28388	20726
